parent_node,full_path,total_papers,leaf_count,top_keywords,top_methods,top_problems,summary,original_nodes,aggregation_type
图像分析与理解,图像分析与理解,211,114,vision-language models (VLMs); deep learning; medical imaging; diffusion models; medical image,generative diffusion models; feature extraction; active contour model; cubic Bézier curve fitting; corner and regular point distinction,lack of precise control in image editing; efficiency in parallel extraction of features; 效率与精度的权衡; accurate silhouette vectorization; corner point detection and handling,"该聚合领域包含11个子领域，共211篇论文。 主要关键词：vision-language models (VLMs), deep learning, medical imaging。",图像处理; 图像分割; 图像分类; 图像理解与分析; 语义分割; 图像分析与理解; 图像理解与解释性; 图像理解; 图像处理与分析; 图像理解与文档分析; 图像理解与表征学习,predefined
文本生成与对话,文本生成与对话,95,78,Large Language Models; large language models; Large Language Models (LLMs); 大语言模型; Hallucination,Retrieval-Augmented Generation (RAG); Chain-of-Thought (CoT) prompting; Chain-of-Thought reasoning; Empirical Analysis; Benchmarking,LLM hallucination detection; introduction or amplification of framing bias; Vulnerability to Jailbreak Attacks; Hallucination in LLMs; 法律文档自动摘要,"该聚合领域包含3个子领域，共95篇论文。 主要关键词：Large Language Models, large language models, Large Language Models (LLMs)。",文本生成; 对话系统; 问答系统,predefined
三维视觉技术,三维视觉技术,88,61,Neural Rendering; point cloud; 3D reconstruction; 3D Gaussian Splatting; deep learning,3D Gaussian Splatting; Neural Rendering Techniques; Bezier curve parameter optimization; Sparse curve representation; Feature-preserving abstraction,hair strand reconstruction from colorless 3D scans; Faithful abstraction of 3D shapes; Salient feature preservation; Sparse yet expressive representation; Viewpoint invariance,"该聚合领域包含13个子领域，共88篇论文。 主要关键词：Neural Rendering, point cloud, 3D reconstruction。",三维重建; 三维视觉与姿态估计; 运动估计与三维视觉; 三维视觉与点云处理; 三维视觉与图形学; 三维视觉与生成; 三维视觉与点云分析; 三维视觉与深度估计; 三维视觉与建模; 三维视觉与感知; 立体视觉与深度估计; 三维视觉与渲染; 三维视觉与多模态感知,predefined
图像生成技术,图像生成技术,59,45,diffusion models; text-to-image generation; generative models; medical image synthesis; diffusion model,diffusion models; large-scale dataset training; cultural adaptation; data-driven synthesis; Large Multimodal Language Model (GPT-4o),cultural knowledge gap; dataset bias; limited annotated pathological data; clinical applicability; temporal consistency in multi-scene generation,"该聚合领域包含4个子领域，共59篇论文。 主要关键词：diffusion models, text-to-image generation, generative models。",图像生成; 生成式模型; 生成模型; 生成模型评估,predefined
自然语言处理,自然语言处理,55,37,Large Language Models; large language models; Large Language Models (LLMs); large language model; 文本生成 (Text Generation),Large Language Models (LLMs); Large Language Model-based Dialogue; Text-based Evaluation; Instant Messaging Integration; Remote Interaction Simulation,Aligning LLMs with Human Preferences; 缺乏多模态交互的评估; 与真实远程医疗场景的偏离; 多模态对话系统的集成挑战; 医患即时通讯需求,"该聚合领域包含9个子领域，共55篇论文。 主要关键词：Large Language Models, large language models, Large Language Models (LLMs)。",自然语言处理; 自然语言理解与推理; 语义理解与表示; 自然语言理解; 文本理解与推理; 语义表示与解析; 语言理解与推理; 语言建模与生成; 自然语言理解与评测,predefined
多模态智能,多模态智能,47,33,Vision-Language Models; generation; multimodal large reasoning models; Visual Question Answering; safety evaluation,Large Vision-Language Models (LVLMs); next-token prediction (NTP); A/B测试; unified framework; systematic safety evaluation,When to Trust VLMs; lack of systematic evaluation; safety of multimodal large models; reliability concerns; Audio-Language Understanding,"该聚合领域包含4个子领域，共47篇论文。 主要关键词：Vision-Language Models, generation, multimodal large reasoning models。",多模态学习; 视觉-语言模型; 视觉-语言-动作建模; 多模态医学人工智能,predefined
机器学习方法,机器学习方法,42,32,convolutional neural networks; higher-order operations; deep neural networks; 3D CNNs; neural response prediction,Embedding higher-order operations within convolutional operators; Extension of traditional 3D CNNs; Direct modeling within CNNs; Novel neural network architecture design; test case generation,Limited expressiveness of traditional CNNs; Incorporating higher-order interactions in neural networks; security testing of DNNs; Improving neural response prediction accuracy; Efficient integration of advanced operations in CNNs,"该聚合领域包含14个子领域，共42篇论文。 主要关键词：convolutional neural networks, higher-order operations, deep neural networks。",深度学习; 机器学习; 联邦学习; 深度学习方法; 自监督学习; 强化学习; 持续学习（Continual Learning）; 迁移学习; 多任务学习; 迁移学习与小样本学习; 元学习; 持续学习; 不确定性建模与评估; 监督学习,predefined
目标检测与跟踪,目标检测与跟踪,38,31,深度学习; retrieval; 目标检测; Person Re-identification; Weakly Supervised Object Localization,特征增强; 深度神经网络; Controlled Environment Evaluation; Class Activation Map (CAM); self-attention map,视觉数据中的隐私泄露; Performance Degradation in Real-world Settings; Extreme Data Variability; 低标注成本下的目标定位; 提升弱监督定位精度,"该聚合领域包含6个子领域，共38篇论文。 主要关键词：深度学习, retrieval, 目标检测。",目标检测; 目标跟踪; 跨模态检索; 多目标跟踪; 图像检索与定位; 行人重识别,predefined
视频生成与理解,视频生成与理解,37,32,temporal action detection; object detection; deep learning; anomaly detection; 交通事故预测,Temporal Reference-based Context Modeling; Latent Prior Modeling; transfer learning; query-based detection architectures; masked video modeling (MVM),warping shake in video stitching; limitation of query-based detectors in TAD; human skill assessment in complex activities; 交通事故提前预测; temporal inconsistency,"该聚合领域包含6个子领域，共37篇论文。 主要关键词：temporal action detection, object detection, deep learning。",视频处理; 图像与视频取证; 视频生成; 图像与视频生成; 视频生成与合成; 视频生成与建模,predefined
文本分析与挖掘,文本分析与挖掘,34,29,multimodal sentiment analysis; CMU-MOSEI dataset; transformer-based models; early fusion; text modality,Transformer-based models; Early fusion; BERT-based encoders; Feature concatenation; Classification layer,Multimodal fusion; Representation learning for modalities; Sentiment classification; Dataset utilization; few-shot text classification,"该聚合领域包含7个子领域，共34篇论文。 主要关键词：multimodal sentiment analysis, CMU-MOSEI dataset, transformer-based models。",情感分析; 文本分类; 文本分析; 文本挖掘与主题建模; 主题建模与文本表示; 文本分析与理解; 文本挖掘与安全,predefined
大语言模型技术,大语言模型技术,29,24,large language models; fine-tuning; Large Language Models; Large Language Models (LLMs); Fine-tuning,scaling law analysis; Black-Box Prompt Optimization; Attention Pattern Analysis; Comparative Analysis; Fine-tuning of PLMs,How to fine-tune LLMs efficiently under compute constraints; Prompt Refinement for LLMs; contextual distraction; Modeling Non-compositional Semantics; improving LLMs' reasoning ability,"该聚合领域包含5个子领域，共29篇论文。 主要关键词：large language models, fine-tuning, Large Language Models。",语言模型; 模型可解释性与分析; 预训练与大模型训练; 可解释性与模型分析; 预训练与迁移学习,predefined
机器人技术,机器人技术,28,20,dexterous manipulation; 3D scenes; affordance prediction; visual perception; view planning,automatic 3D scene generation; simulation-based training; task-driven scene synthesis; plausible spatial arrangement modeling; high-clutter environment generation,"efficient view planning; Lack of diverse 3D scenes for simulation; Difficulty in manual curation of task-specific scenes; Rarity of high-clutter, plausible environments; Meeting strict task requirements in scene generation","该聚合领域包含9个子领域，共28篇论文。 主要关键词：dexterous manipulation, 3D scenes, affordance prediction。",机器人感知与认知; 机器人学; 机器人学习; 机器人操作与抓取; 机器人控制; 机器人感知与操作; 智能体架构与认知系统; 人机交互; 自主探索与学习,predefined
智能导航与控制,智能导航与控制,21,18,自主导航; 强化学习; map matching; vehicle navigation; intelligent driving,online Standard Defini; dense BEV feature extraction; sparse representation techniques; semantic segmentation algorithms; HD map construction pipeline,errors in complex road networks; errors in multilevel road area; high computational cost of dense BEV features; efficiency vs. accuracy trade-off; scalability of HD map construction,"该聚合领域包含12个子领域，共21篇论文。 主要关键词：自主导航, 强化学习, map matching。",场景理解与感知; 场景理解与重建; 多模态感知与场景理解; 自主导航; 环境感知与场景理解; 自主导航与运动控制; 自主导航与定位; 自主导航与协作; 自主导航与控制; 自主导航与感知; 路径规划与任务规划; 路径规划,predefined
人体分析与理解,人体分析与理解,17,12,human pose estimation; musculoskeletal disorders; body tracking; deep learning; data,deep learning models; large-scale data utilization; camera-based posture estimation; ergonomic risk assessment; workplace adjustment recommendation,improving pose estimation accuracy; efficient body tracking; identification of ergonomic risks; improving posture to reduce strain; economic impact of MSDs,"该聚合领域包含10个子领域，共17篇论文。 主要关键词：human pose estimation, musculoskeletal disorders, body tracking。",姿态估计与动作分析; 三维视觉与姿态估计; 人体姿态估计与动作捕捉; 人体姿态估计; 人体动作分析; 人体动作生成与理解; 动作识别; 行为与状态识别; 三维人体姿态估计; 动作生成与理解,predefined
信息抽取与检索,信息抽取与检索,16,11,Named Entity Recognition; Natural Language Processing; misinformation; Multimodal Named Entity Recognition; Aspect Sentiment Triplet Extraction (ASTE),本地部署大语言模型; Multimodal Fusion; Table Tagging Method; Automatic Extraction; large-scale data collection,如何在本地环境下安全处理敏感文档; Limited Progress in Low-resource Languages; Effective Integration of Multimodal Information; 联合抽取方面词、观点词及情感极性; 三元组之间的关联建模,"该聚合领域包含3个子领域，共16篇论文。 主要关键词：Named Entity Recognition, Natural Language Processing, misinformation。",信息抽取; 语义检索与表示学习; 信息检索,predefined
