,报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
0,20250331,51443450583.77,50600957885.78,842492697.99,,,,,14433297495.64,4061430550.43,19149.94,,,,,,,,7164819273.48,26350331.91,1495322480.9,1919959143.43,-282549536.99,2430564.85,47946102.54,265351.99,,,,,652973.61,,,,17785942.53,,,,491793.53,37036598228.0,16421712.88,,21566291.09,,37031453649.79,9256817638.18,,27774636011.61,27774636011.61,,26847474238.76,,927161772.85,3280481.68,3280481.68,,,,,,3280481.68,,,,,,,,,3280481.68,,,27777916493.29,26850754720.44,927161772.85,21.38,21.38,定期报告,未审计,20250430,CNY,合并期末,2025-04-29T17:54:07
1,20241231,174144069958.24997,170899152276.34,3244917681.91,,,,,54523971452.57,13789482367.98,94078.17,,,,,,,,26926161474.99,218375472.87,5639300059.49,9315650060.38,-1470219863.34,14474584.09,105127802.03,9130340.37,,,,,60980724.35,,,,21229466.81,,,,388852.05,119688579453.23,70936575.97,,120937834.74,,119638578194.46,30303850168.56,,89334728025.9,89334728025.9,,86228146421.62,,3106581604.28,-3854497.18,-3854497.18,,,,,,-3854497.18,,,,,,,,,-3854497.18,,,89330873528.72,86224291924.44,3106581604.28,68.64,68.64,定期报告,是,20250403,CNY,合并期末,2025-04-02T21:17:04
2,20240930,123122542625.45,120776131874.69,2346410750.76,,,,,39182396617.66,10228077394.34,212030.22,,,,,,,,19911791735.67,140401034.71,4235182341.09,5767525028.76,-1172804656.48,7226289.08,72011709.35,8019358.73,,,,,40768101.0,,,,18147885.59,,,,-7558.82,83996733560.98,54052930.61,,1902888.56,,84048883603.03,21017421363.48,,63031462239.55,63031462239.55,,60827552118.51,,2203910121.04,-305452.86,-305452.86,,,,,,-305452.86,,,,,,,,,-305452.86,,,63031156786.69,60827246665.65,2203910121.04,48.42,48.42,定期报告,未审计,20241026,CNY,合并期末,2024-10-25T18:07:08
3,20240630,83451164646.53,81930977667.75,1520186978.78,,,,,25936116155.36,6750879251.19,200913.8,,,,,,,,13493473033.78,92416649.15,2617482932.18,3836028544.08,-894961239.26,5748136.6,40596070.44,2288120.31,,,,,35533843.83,,,,16080612.71,,,,67280.68,57550951619.01,27617288.18,,287253.75,,57578281653.44,14401367308.32,,43176914345.12,43176914345.12,,41695610983.37,,1481303361.75,-2210717.86,-2210717.86,,,,,,-2210717.86,,,,,,,,,-2210717.86,,,43174703627.26,41693400265.51,1481303361.75,33.19,33.19,定期报告,未审计,20240809,CNY,合并期末,2024-08-08T19:32:02
4,20240331,46484738134.23,45775517043.29,709221090.94,,,,,13344131153.66,3381292339.02,17623.14,,,,,,,,7198747241.22,28165665.55,1140575656.66,2062253342.52,-486783948.02,2468225.23,19863233.57,1283616.07,,,,,13714077.55,,,,14273862.71,,,,8037.21,33157339181.96,16401791.11,,55833.06,,33173685140.01,8291337813.27,,24882347326.74,24882347326.74,,24065262374.15,,817084952.59,-2048071.03,-2048071.03,,,,,,-2048071.03,,,,,,,,,-2048071.03,,,24880299255.71,24063214303.12,817084952.59,19.16,19.16,定期报告,未审计,20250430,CNY,合并期末,2024-04-26T20:47:04
5,20231231,150560330316.44998,147693604994.14,2866725322.31,,,,,46960889468.54,11867273851.78,68578.57,,,,,,,,22234175898.6,157371873.01,4648613585.82,9729389252.31,-1789503701.48,12624628.35,113500129.93,34025967.82,,,,,3151962.5,,,,34644873.86,,,,-479736.97,103708655208.38,86779655.95,,132881174.52,,103662553689.81,26141077412.01,,77521476277.8,77521476277.8,,74734071550.75,,2787404727.05,4715179.82,4715179.82,,,,,,4715179.82,,,,,,,,,4715179.82,,,77526191457.62,74738786730.57,2787404727.05,59.49,59.49,定期报告,是,20250403,CNY,合并期末,2024-04-02T22:17:03
6,20230930,105315900448.1,103268354688.44,2047545759.66,,,,,32235692213.48,8563558153.38,161542.35,,,,,,,,16029487114.77,101126024.63,3062692687.17,5733477491.0,-1332267887.99,9710423.34,77457088.17,6080875.75,,,,,9435832.66,,,,33936871.22,,,,-2633737.09,73171463156.46,70894268.8,,15671830.68,,73226685594.58,18399514222.61,,54827171371.97,54827171371.97,,52876217064.12,,1950954307.85,1707739.52,1707739.52,,,,,,1707739.52,,,,,,,,,1707739.52,,,54828879111.49,52877924803.64,1950954307.85,42.09,42.09,定期报告,未审计,20241026,CNY,合并期末,2023-10-20T19:22:02
7,20230630,70987206095.38,69576019445.77,1411186649.61,,,,,21179301470.55,5706568368.85,148486.95,,,,,,,,10600740606.94,72770682.08,1786303323.18,3830384740.24,-871240079.13,6261816.21,53625341.44,4078666.67,,,,,-79760.73,,,,28827865.57,,,,-3277531.44,49891753180.54,46397097.35,,14166793.71,,49923983484.18,12592012294.9,,37331971189.28,37331971189.28,,35980415090.77,,1351556098.51,4998834.62,4998834.62,,,,,,4998834.62,,,,,,,,,4998834.62,,,37336970023.9,35985413925.39,1351556098.51,28.64,28.64,定期报告,未审计,20240809,CNY,合并期末,2023-08-02T19:17:04
8,20230331,39379301807.75,38755812096.89,623489710.86,,,,,10715598396.54,2869644707.84,243203.14,,,,,,,,5460376291.15,22956214.08,756507749.16,2012191904.39,-420323994.04,3298202.04,14002320.82,4078666.67,,,,,,,,,20911440.8,,,,,28685886991.92,14364314.22,,107411.52,,28700143894.62,7175418264.46,,21524725630.16,21524725630.16,,20794882754.55,,729842875.61,3008282.06,3008282.06,,,,,,3008282.06,,,,,,,,,3008282.06,,,21527733912.22,20797891036.61,729842875.61,16.55,16.55,定期报告,未审计,20240427,CNY,合并期末,2023-04-25T19:47:05
9,20221231,127553959355.97,124099843771.99,3454115583.98,,,,,39748309616.85,10093468616.63,143141.51,,,,,,,,18495818534.22,135185680.4,3297724190.94,9012191073.63,-1391805826.72,12023204.77,105584206.24,63840000.0,,,,,,,,,24505353.83,,,,213235.69,87879521782.39,70852285.4,,248884319.61,,87701489748.18,22325449790.3,,65376039957.88,65376039957.88,,62717467870.12,,2658572087.76,2240973.45,2240973.45,,,,,,2240973.45,,,,,,,,,2240973.45,,,65378280931.33,62719708843.57,2658572087.76,49.93,49.93,定期报告,是,20240403,CNY,合并期末,2023-03-30T21:17:04
